,card,income,share,expenditure,reports_equal and greater then 4,reports_less than 4,age_18~30,age_30~50,age_50~,owner_no,owner_yes,selfemp_no,selfemp_yes,dependents_0~1,dependents_1~,months_60~,months_~50,majorcards_0,majorcards_>=1,active_<7,active_>=7
0,True,0.9027675160857564,0.03326991,-0.2077491471232492,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True
1,True,-0.6118309230032368,0.005216942,-0.8367687367030553,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True
2,True,0.888342769046814,0.0041555559999999,-0.8086539609085895,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False
3,True,-0.52528244076958,0.06521378,-0.13734573733324906,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True
4,True,2.402941208135807,0.06705059,2.0952677391385435,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False
5,True,-0.5541319348474656,0.0444384,-0.38797491555860186,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False
6,True,0.49887459899535846,0.01257576,-0.6675109659893133,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,True,False
7,True,-0.6478927906005937,0.07643376,-0.06675164788550914,False,True,True,False,False,False,True,True,False,True,False,True,False,False,True,True,False
8,True,0.383476622683816,0.2298219999999999,2.4701663470173365,False,True,False,True,False,False,True,True,False,True,False,True,False,False,True,True,False
9,True,-0.049265788484467624,0.01978,-0.6033318538063923,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True
10,True,0.4916622254758872,0.07802456,0.5117026850511447,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True
11,False,-0.9291753578599783,0.0006060605999999,-0.8906079685332026,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False
12,False,-1.1094846958467632,0.0006936416,-0.8906079685332026,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True
13,True,-0.5901938024448224,0.03879551,-0.45967101322886755,False,True,True,False,False,False,True,True,False,True,False,False,True,False,True,True,False
14,True,-0.9811044472001724,0.02690671,-0.6577766328716769,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False
